category,title,price,rating,availability
Crime,The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,One star,In stock
Christian,(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,Five star,In stock
Christian,Crazy Love: Overwhelmed by a Relentless God,£47.72,Two star,In stock
Christian,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,£25.77,One star,In stock
Cultural,Amid the Chaos,£36.58,One star,In stock
Erotica,Dark Notes,£19.19,Five star,In stock
Suspense,Silence in the Dark (Logan Point #4),£58.33,Three star,In stock
Short Stories,The Grownup,£35.88,One star,In stock
Historical,All the Light We Cannot See,£29.87,Five star,In stock
Historical,The Girl You Left Behind (The Girl You Left Behind #1),£15.79,One star,In stock
Novels,Suzie Snowflake: One beautiful flake (a self-esteem story),£54.81,Five star,In stock
Politics,Libertarianism for Beginners,£51.33,Two star,In stock
Politics,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,£52.65,Four star,In stock
Politics,Equal Is Unfair: America's Misguided Fight Against Income Inequality,£56.86,One star,In stock
Health,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three star,In stock
Health,"Eat Fat, Get Thin",£54.07,Two star,In stock
Health,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,£49.71,Five star,In stock
Health,The Art and Science of Low Carbohydrate Living,£52.98,Five star,In stock
Self Help,Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,One star,In stock
Self Help,How to Be Miserable: 40 Strategies You Already Use,£46.03,One star,In stock
Self Help,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",£52.15,Three star,In stock
Self Help,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,£12.08,Three star,In stock
Self Help,How to Stop Worrying and Start Living,£46.49,Five star,In stock
Academic,Logan Kade (Fallen Crest High #5.5),£13.12,Two star,In stock
Thriller,In Her Wake,£12.84,One star,In stock
Thriller,The Elephant Tree,£23.82,Five star,In stock
Thriller,Behind Closed Doors,£52.22,Four star,In stock
Thriller,You (You #1),£43.61,Five star,In stock
Thriller,The Guilty (Will Robie #4),£13.82,Two star,In stock
Thriller,The 14th Colony (Cotton Malone #11),£39.24,One star,In stock
Thriller,Give It Back,£18.32,Two star,In stock
Thriller,Killing Floor (Jack Reacher #1),£31.49,Four star,In stock
Thriller,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71,Three star,In stock
Thriller,Far From True (Promise Falls Trilogy #2),£34.93,Two star,In stock
Thriller,The Travelers,£15.77,One star,In stock
Spirituality,The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five star,In stock
Spirituality,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,Five star,In stock
Spirituality,Chasing Heaven: What Dying Taught Me About Living,£37.80,Two star,In stock
Spirituality,If I Gave You God's Phone Number....: Searching for Spirituality in America,£20.91,One star,In stock
Spirituality,Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,£46.33,Two star,In stock
Spirituality,A New Earth: Awakening to Your Life's Purpose,£55.65,Five star,In stock
Biography,Louisa: The Extraordinary Life of Mrs. Adams,£16.85,Two star,In stock
Biography,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",£21.15,Two star,In stock
Biography,The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,£39.55,One star,In stock
Biography,Benjamin Franklin: An American Life,£48.19,Three star,In stock
Biography,The Rise of Theodore Roosevelt (Theodore Roosevelt #1),£42.57,Three star,In stock
Contemporary,When We Collided,£31.77,One star,In stock
Contemporary,Someone Like You (The Harrisons #2),£52.79,Five star,In stock
Contemporary,We Are All Completely Beside Ourselves,£24.04,One star,In stock
Business,The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four star,In stock
Business,The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,Five star,In stock
Business,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,Three star,In stock
Business,Shoe Dog: A Memoir by the Creator of NIKE,£23.99,Two star,In stock
Business,Made to Stick: Why Some Ideas Survive and Others Die,£38.85,Five star,In stock
Business,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,One star,In stock
Business,The Art of Startup Fundraising,£21.00,Three star,In stock
Business,Born for This: How to Find the Work You Were Meant to Do,£21.59,Five star,In stock
Business,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,£36.91,One star,In stock
Business,"Rich Dad, Poor Dad",£51.74,One star,In stock
Business,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92,Three star,In stock
Business,Rework,£44.88,Two star,In stock
Christian Fiction,Redeeming Love,£20.47,Five star,In stock
Christian Fiction,Close to You,£49.46,Four star,In stock
Christian Fiction,Shadows of the Past (Logan Point #1),£39.67,Five star,In stock
Christian Fiction,Like Never Before (Walker Family #2),£28.77,Two star,In stock
Christian Fiction,Counted With the Stars (Out from Egypt #1),£17.97,Five star,In stock
Christian Fiction,If I Run (If I Run #1),£49.97,Four star,In stock
Food and Drink,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three star,In stock
Food and Drink,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One star,In stock
Food and Drink,My Paris Kitchen: Recipes and Stories,£33.37,Two star,In stock
Food and Drink,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four star,In stock
Food and Drink,"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One star,In stock
Food and Drink,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,Five star,In stock
Food and Drink,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,Two star,In stock
Food and Drink,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,One star,In stock
Food and Drink,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,Three star,In stock
Food and Drink,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,£28.77,Three star,In stock
Food and Drink,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",£19.55,One star,In stock
Food and Drink,Barefoot Contessa Back to Basics,£28.01,One star,In stock
Food and Drink,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,£50.62,Five star,In stock
Food and Drink,My Kitchen Year: 136 Recipes That Saved My Life,£11.53,Two star,In stock
Food and Drink,Everyday Italian: 125 Simple and Delicious Recipes,£20.10,Five star,In stock
Food and Drink,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",£38.77,One star,In stock
Food and Drink,Cravings: Recipes for What You Want to Eat,£20.50,Three star,In stock
Food and Drink,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",£12.34,Four star,In stock
Food and Drink,32 Yolks,£53.63,Two star,In stock
Food and Drink,"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",£11.38,Five star,In stock
History,Sapiens: A Brief History of Humankind,£54.23,Five star,In stock
History,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One star,In stock
History,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One star,In stock
History,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two star,In stock
History,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,One star,In stock
History,Zealot: The Life and Times of Jesus of Nazareth,£24.70,Three star,In stock
History,A Distant Mirror: The Calamitous 14th Century,£14.58,Three star,In stock
History,1491: New Revelations of the Americas Before Columbus,£21.80,Three star,In stock
History,Brilliant Beacons: A History of the American Lighthouse,£11.45,Three star,In stock
History,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",£44.48,Five star,In stock
History,A Short History of Nearly Everything,£52.40,Five star,In stock
History,The Rise and Fall of the Third Reich: A History of Nazi Germany,£39.67,Two star,In stock
History,Catherine the Great: Portrait of a Woman,£58.55,Four star,In stock
History,The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,£42.91,Five star,In stock
History,The Hiding Place,£55.91,Four star,In stock
History,America's War for the Greater Middle East: A Military History,£51.22,Two star,In stock
History,The Guns of August,£14.54,Two star,In stock
History,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",£43.70,Two star,In stock
Adult Fiction,Fifty Shades Freed (Fifty Shades #3),£15.36,Five star,In stock
Horror,Security,£39.25,Two star,In stock
Horror,Follow You Home,£21.36,One star,In stock
Horror,The Loney,£23.40,One star,In stock
Horror,Pet Sematary,£10.56,Three star,In stock
Horror,Doctor Sleep (The Shining #2),£40.12,Two star,In stock
