category,title,price,rating,availability
Fiction,Soumission,£50.10,One star,In stock
Fiction,Private Paris (Private #10),£47.61,Five star,In stock
Fiction,"We Love You, Charlie Freeman",£50.27,Five star,In stock
Fiction,Thirst,£17.27,Five star,In stock
Fiction,The Murder That Never Was (Forensic Instincts #5),£54.11,Three star,In stock
Fiction,Tuesday Nights in 1980,£21.04,Two star,In stock
Fiction,The Vacationers,£42.15,Four star,In stock
Fiction,The Regional Office Is Under Attack!,£51.36,Five star,In stock
Fiction,Finders Keepers (Bill Hodges Trilogy #2),£53.53,Five star,In stock
Fiction,The Time Keeper,£27.88,Five star,In stock
Fiction,The Testament of Mary,£52.67,Four star,In stock
Fiction,The First Hostage (J.B. Collins #2),£25.85,Three star,In stock
Fiction,Take Me with You,£45.21,Three star,In stock
Fiction,Still Life with Bread Crumbs,£26.41,Three star,In stock
Fiction,Shtum,£55.84,Four star,In stock
Fiction,My Name Is Lucy Barton,£41.56,One star,In stock
Fiction,My Mrs. Brown,£24.48,Three star,In stock
Fiction,Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,One star,In stock
Fiction,I Am Pilgrim (Pilgrim #1),£10.60,Four star,In stock
Fiction,Eligible (The Austen Project #4),£27.09,Three star,In stock
Fiction,Eight Hundred Grapes,£14.39,Four star,In stock
Fiction,Dear Mr. Knightley,£11.21,Five star,In stock
Fiction,Cometh the Hour (The Clifton Chronicles #6),£25.01,Three star,In stock
Fiction,Balloon Animals,£17.03,Three star,In stock
Fiction,A Man Called Ove,£39.72,One star,In stock
Fiction,The Silent Sister (Riley MacPherson #1),£46.29,Five star,In stock
Fiction,The Dinner Party,£56.54,Two star,In stock
Fiction,The Improbability of Love,£59.45,One star,In stock
Fiction,Mothering Sunday,£13.34,Two star,In stock
Fiction,Lies and Other Acts of Love,£45.14,One star,In stock
Fiction,Daredevils,£16.34,Three star,In stock
Fiction,11/22/63,£48.48,Three star,In stock
Fiction,The Shack,£28.03,One star,In stock
Fiction,The High Mountains of Portugal,£51.15,One star,In stock
Fiction,Miller's Valley,£58.54,Two star,In stock
Fiction,Hystopia: A Novel,£21.96,Four star,In stock
Fiction,The Bourne Identity (Jason Bourne #1),£42.78,Four star,In stock
Fiction,Sister Dear,£40.20,Four star,In stock
Fiction,Memoirs of a Geisha,£49.67,Three star,In stock
Fiction,Me Before You (Me Before You #1),£19.02,One star,In stock
Fiction,Deception Point,£40.32,Four star,In stock
Fiction,The Little Paris Bookshop,£24.73,Three star,In stock
Fiction,The Firm,£45.56,Three star,In stock
Fiction,The Expatriates,£44.58,Two star,In stock
Fiction,Siddhartha,£34.22,Five star,In stock
Fiction,Last One Home (New Beginnings #1),£59.98,Three star,In stock
Fiction,Digital Fortress,£58.00,Five star,In stock
Fiction,Atlas Shrugged,£26.58,Five star,In stock
Fiction,Three-Martini Lunch,£23.21,Three star,In stock
Fiction,The Nightingale,£26.26,Four star,In stock
Fiction,The Infinities,£27.41,One star,In stock
Fiction,The Husband's Secret,£52.51,Five star,In stock
Fiction,The Da Vinci Code (Robert Langdon #2),£22.96,Two star,In stock
Fiction,The Art of Fielding,£22.10,One star,In stock
Fiction,Lila (Gilead #3),£12.47,Three star,In stock
Fiction,Jurassic Park (Jurassic Park #1),£44.97,One star,In stock
Fiction,Inferno (Robert Langdon #4),£41.00,Five star,In stock
Fiction,Crazy Rich Asians (Crazy Rich Asians #1),£49.13,Five star,In stock
Fiction,Big Little Lies,£22.11,One star,In stock
Fiction,The Course of Love,£16.78,Three star,In stock
Fiction,When I'm Gone,£51.96,Three star,In stock
Fiction,The Silent Wife,£12.34,Five star,In stock
Fiction,The Bette Davis Club,£30.66,Three star,In stock
Fiction,Kitchens of the Great Midwest,£57.20,Five star,In stock
Fiction,Bright Lines,£39.07,Five star,In stock
